name,featured_artist,Track Genre,track_id,explicit,duration_in_days,artists,cover_url
Kendine Dünya,No Features,Pop,3BJ2qBaZqb79fYmKLz7lrE,FALSE,2,Merve Özbey,
El Ausente,No Features,Pop,4CO9UNnLewlBcthMau8Ipj,FALSE,2,Pastor Lopez,
Amigo Taxista,No Features,Pop,6LEFk0KHRfahO5pOMJlbdV,FALSE,2,Zé Neto & Cristiano,
Vas a Morir Con Eso,No Features,Pop,7kskSb3gJkExlSlN65ovWc,FALSE,2,Pipa Para Tabaco,
Kaprichosa,No Features,Pop,11iYGnLvPxB2O9k0xGmPvq,FALSE,2,Danna Paola,
Wannabe,No Features,Pop,1Je1IMUlBXcx1Fz0WE7oPT,FALSE,2,Spice Girls,
Dzelzceļnieks,No Features,Pop,0FwgAvZSoV30mJBp0Z0kXE,FALSE,2,Prāta Vētra,
8 Letters,No Features,Pop,4zRZAmBQP8vhNPf9i9opXt,FALSE,2,"[""Why Dont We""]",
Ti Amo,No Features,Pop,2vlXmglKhzSlV5XJgPzjnx,FALSE,2,Pietro Lombardi,
夜のピエロ,No Features,Pop,59bPgyrdKgjWkcjxcYoaox,FALSE,2,Ado,
Afraid Of The Dark,No Features,Pop,4YEsNhGhXXtefznetrzhMb,FALSE,2,"[""Chefspecial""]",
Älä pyydä mua jäämään,No Features,Pop,26hJFUNneq9rMhZU4cKv8W,FALSE,2,Pihlaja,
بحبك أنا,No Features,Pop,4u6Th015hWgBHd76fzvwvG,FALSE,2,Amr Diab,
Rodoudoh Ghariba,No Features,Pop,3J1FPWiMtDWYTLJoQ93bOd,FALSE,2,Mohamed Hamaki,
Panama Ibiza,No Features,Pop,3aP5m41DWm1ozhD19SxHwQ,FALSE,2,Qv Trap,
Cinta Pertama,No Features,Pop,4i2Zvfyy7AmuH190SUVl1e,FALSE,2,Isyana Sarasvati,
less of you,No Features,Pop,3IqcBL5yjJK3ri0TGaL3MC,FALSE,2,Keshi,
My Girl,No Features,Pop,1WP6nfERzSfqCnBZKVrr99,FALSE,2,Fo&O,
Eyes Closed,No Features,Pop,4hy7qTxsnyZUZoqo5RtaYq,FALSE,2,Ed Sheeran,
SÁL,No Features,Pop,5dkfLAoWakrFfBasf6T05E,FALSE,2,Aron Can,
Paradis Perdus,No Features,Pop,1SGyI6UVv1QtmxOLHWG0Kb,FALSE,2,Christine And The Queens,
Jos menet pois (Vain elämää kausi 12),No Features,Pop,7hM1klNeJ3qz68lpWLw2vz,FALSE,2,Abreu,
Dream Girl,No Features,Pop,2hWdrKvnFcz4MavRhSEEpO,FALSE,2,Smiley,
Sirena,No Features,Pop,1juHIWqgFiDFAKuEBP24Lt,FALSE,2,Cali Y El Dandee,
Kontroverzní,No Features,Pop,79KKBSNyJsSAFFJwIWDEkm,FALSE,2,Fattypillow,
Puntos Suspensivos,No Features,Pop,04cd1MHVq1D8v1nuTZoCdv,FALSE,2,Piso 21,
A Dangerous Thing,No Features,Pop,3Ola5gPTe1NK9GgnVgLoVX,FALSE,2,Aurora,
Skapoto se plashta,No Features,Pop,47gFpAzUeXSjDB4KBJKL4E,FALSE,2,Emanuela,
Eitt lag enn,No Features,Pop,6p87m8IQhHCTqOmOSeakWd,FALSE,2,Brimkló,
MARE DI GUAI,No Features,Pop,5coGRpcrHdoLBuTLAeKGxu,FALSE,2,Ariete,
